fmc,uber technologies,shotspotter
american resources,godaddy,simpson manufacturing
cubic,tribune publishing,american public education
alcoa,graco,vermillion
telus,groupon,american eagle outfitters
ebay,hubbell,gaia
chewy,continental resources,elong
united rentals,carmax,home properties
nic,atmos energy,alleghany
loews,sysco,moodys
american independence,reynolds american,equity residential
union pacific,hp,kior
cae,frontier communications,saia
nike,seaworld entertainment,community financial
3m,move,kirklands
fluent,odyssey marine exploration,beyond air
panera bread,mongodb,multi color
exelon,elizabeth arden,precision drilling
,national security group,las vegas sands
knowles,truecar,power one
gartner,synchrony financial,magna international
harley davidson,alcon,ameriprise financial
carters,newlink genetics,baozun
brunswick,macys,sapient
scholastic,ansys,funko
nordstrom,valley national bancorp,evergy
cheesecake factory,dominos pizza,bojangles
dicks sporting goods,kelly services,sanofi
blue bird,vf,chart industries
pfizer,gap,neenah
blackrock,makita,clearfield
elastic,sabre,core laboratories
saks,ericsson,online resources
donaldson,american resources,moderna
reeds,erickson,bio reference laboratories
tivo,boise,student transportation
hp,salem media group,danaher
sonic,line,life time fitness
oshkosh,stein mart,texas roadhouse
unisys,nn,kroger company
vapor,111,boston beer
catamaran,globalstar,big lots
phillips 66,zoom video communications,bank first
parsons,clorox,appian
aol,diamondback energy,upwork
citigroup,questar,icu medical
rocket fuel,iheartmedia,andersons
ppl,abbott laboratories,thermo fisher scientific
nokia,cardinal health,unifi
rosetta stone,gilead sciences,bloom energy
dillards,apache,national interstate
amgen,amgen,dmc global
snap on,aveo pharmaceuticals,on deck capital
resonant,bristol myers squibb,cvs health
urban outfitters,novavax,verisign
five 9,nxt,china fund
wd 40,best,urban one
campbell soup,l brands,air t
masco,globe life,general finance
thestreet,seaboard,opentable
aecom,courier,datalink
international speedway,toyota motor,educational development
crocs,cintas,stage stores
unitedhealth group,autozone,st joe
igate,vca,masimo
veru,jones group,x financial
hershey,ashford,citizens holding
polaris,molina healthcare,equillium
krispy kreme doughnuts,peabody energy,interphase
bancorp,anthem,west marine
tyson foods,tripadvisor,evercore
trimble,progressive,real industry
sabre,joint,at home group
linkedin,qualcomm,genesis healthcare
mcclatchy,tredegar,docusign
ruby tuesday,pitney bowes,headwaters
apollo global management,jetblue airways,voltari
radioshack,chesapeake energy,stars group
intersections,knight transportation,dialogic
clps,churchill downs,forty seven
brp,nordstrom,cango
nvidia,graham,steel holding
forward air,colony capital,servicenow
raymond james financial,raytheon,daily journal
bank of america,kirby,solarwinds
caribou coffee,dillards,noble energy
vca,dts,central federal
immersion,yelp,ecotality
howard hughes,avis budget group,alkaline water
roku,lincoln national,ehealth
cummins,zipcar,qumu
pall,jamba,aaon
otter tail,vail resorts,document security systems
groupon,illumina,mobile mini
first foundation,nps pharmaceuticals,sherwin williams
digital generation,emerson electric,instructure
national research,celgene,yandex
