,gvkey,permno,ticker,names.firms,names.firms.1,regexes,done
1047,18171,14400,NWHM,NEW HOME CO INC,NEW HOME,,1
1048,7849,64450,NJR,NEW JERSEY RESOURCES CORP,NEW JERSEY RESOURCES,,1
1049,185585,12747,NMFC,NEW MOUNTAIN FINANCE CORP,NEW MOUNTAIN FINANCE,,1
1050,22182,15108,NEWR,NEW RELIC INC,NEW RELIC,,1
1051,29282,79859,NYCB,NEW YORK CMNTY BANCORP INC,NEW YORKCOMMUNITY BANCORP,,1
1052,7881,21207,NEM,NEWMONT CORP,NEWMONT,,1
1053,7882,34673,NR,NEWPARK RESOURCES,NEWPARK RESOURCES,,1
1054,7883,57534,NEWP,NEWPORT CORP,NEWPORT,,1
1055,176239,91674,NEWS,NEWSTAR FINANCIAL INC,NEWSTAR FINANCIAL,,1
1056,8060,58836,NEWT,NEWTEK BUSINESS SERVICES CP,NEWTEK BUSINESS SERVICES,,1
1057,125315,87298,NEXC,NEXCEN BRANDS INC,NEXCEN BRANDS,,1
1058,32244,15293,NEXT,NEXTDECADE CORP,NEXTDECADE,,1
1059,8858,64961,NXGN,NEXTGEN HEALTHCARE INC,NEXTGEN HEALTHCARE,,1
1060,29524,16557,NEX,NEXTIER OILFIELD SOLUTNS INC,NEXTIER OILFIELD SOLUTNS,,1
1061,122078,87066,EGOV,NIC INC,NIC,,1
1062,165844,91098,NHWK,NIGHTHAWK RADIOLOGY HLDGS,NIGHTHAWK RADIOLOGY,,1
1063,140902,89685,NIHD,NII HOLDINGS INC,NII,,1
1064,31507,17251,NINE,NINE ENERGY SERVICE INC,NINE ENERGY SERVICE,,1
1065,7974,38762,NI,NISOURCE INC,NISOURCE,,1
1066,11854,14318,NMIH,NMI HOLDINGS INC,NMI,,1
1067,63676,83953,NMTI,NMT MEDICAL INC,NMT MEDICAL,N.?M.?T.? MEDICAL,1
1068,29894,80343,NNBR,NN INC,NN,NM INC*,1
1069,12855,62296,NLCI,NOBEL LEARNING CMNTYS INC,NOBEL LEARNINGCOMMUNITYS,,1
1070,18047,13959,NDLS,NOODLES & CO,NOODLES,NOODLES AND CO*,1
1071,142337,92601,NOG,NORTHERN OIL & GAS INC,NORTHERN OIL & GAS,NORTHERN OIL & GAS|NORTHERN OIL AND GAS,1
1072,19209,77488,NTIC,NORTHERN TECH INTL,NORTHERN TECH*,,1
1073,7982,58246,NTRS,NORTHERN TRUST CORP,NORTHERN TRUST,NORTHERN TRUST CORP*,1
1074,20693,14686,NSAM,NORTHSTAR ASSET MGMT GRP INC,NORTHSTAR ASSET MGMT,NORTHSTAR ASSET MANAGEMENT,1
1075,7993,58334,NWN,NORTHWEST NATURAL HLDNG CO,NORTHWEST NATURAL,,1
1076,61635,82599,NWPX,NORTHWEST PIPE CO,NORTHWEST PIPE,NORTHWEST PIPE CO*,1
1077,8001,90458,NWE,NORTHWESTERN CORP,NORTHWESTERN,,1
1078,20235,14632,DNOW,NOW INC,NOW,NOW INC*,1
1079,135990,90071,NRG,NRG ENERGY INC,NRG ENERGY,,1
1080,21232,76963,NTN,NTN BUZZTIME INC,NTN BUZZTIME,,1
1081,8017,67010,NUHC,NU HORIZONS ELECTRONICS CORP,NU HORIZONS ELECTRONICS,,1
1082,64028,84172,NUS,NU SKIN ENTERPRISES  -CL A,NU SKIN ENTERPRISES,,1
1083,178851,92395,NES,NUVERRA ENVIRONMENTAL SOLUTN,NUVERRA ENVIRONMENTAL SOLUTN,NUVERRA,1
1084,7824,38658,NVE,NV ENERGY INC,NV ENERGY,NV ENERGY,1
1085,17277,14166,NVEE,NV5 GLOBAL INC,NV5 GLOBAL,,1
1086,21743,89655,NVEC,NVE CORP,NVE,N\.?V\.?E\.?,1
1087,164612,90957,NXTM,NXSTAGE MEDICAL INC,NXSTAGE MEDICAL,NXSTAGE,1
1088,166451,91143,NYX,NYSE EURONEXT,NYSE EURONEXT,,1
1089,22829,76223,CHUX,O'CHARLEY'S INC,O'CHARLEY'S,O'?CHARLEY'S,1
1090,180193,92694,OCSL,OAKTREE SPECIALTY LENDING CP,OAKTREE SPECIALTY LENDING,,1
1091,18323,14050,OCSI,OAKTREE STRATEGIC INCOME CP,OAKTREE STRATEGIC INCOME,,1
1092,176275,91675,OMPI,OBAGI MEDICAL PRODUCTS INC,OBAGI MEDICAL PRODUCTS,OBAGI,1
1093,260737,91964,OPTT,OCEAN POWER TECHNOLOGIES INC,OCEAN POWER TECH*,,1
1094,21015,14823,OCUL,OCULAR THERAPEUTIX INC,OCULAR THERAPEUTIX,,1
1095,63639,84007,OCN,OCWEN FINANCIAL CORP,OCWEN FINANCIAL,OCWEN,1
1096,14624,75573,ODP,ODP CORP,ODP,O\.?D\.?P\.?,1
1097,66059,85716,OPAY,OFFICIAL PAYMENTS HLDGS INC,OFFICIAL PAYMENTS,OFFICIAL PAYMENTS HOLDINGS,1
1098,16981,11208,OFG,OFG BANCORP,OFG BANCORP,OFG BANCORP,1
1099,8113,24440,OGE,OGE ENERGY CORP,OGE ENERGY,,1
1100,8105,59185,ODC,OIL DRI CORP AMERICA,OIL DRI CORP AMERICA,OIL DRI CORP*,1
1101,142260,88897,OIS,OIL STATES INTL INC,OIL STATES,OIL STATES INTERNATIONAL,1
1102,30736,16649,OKTA,OKTA INC,OKTA,,1
1103,24617,77037,ODFL,OLD DOMINION FREIGHT,OLD DOMINION FREIGHT,,1
1104,17095,12068,ONB,OLD NATIONAL BANCORP,OLD NATIONAL BANCORP,,1
1105,14828,59396,ORI,OLD REPUBLIC INTL CORP,OLD REPUBLIC,,1
1106,24076,15535,OLLI,OLLIE'S BARGAIN OUTLET HLDGS,OLLIE'S BARGAIN OUTLET,OLLIE'?S BARGAIN,1
1107,24611,15647,FLOW,SPX FLOW INC,SPX FLOW,,1
1108,26367,15826,SQ,SQUARE INC,SQUARE,SQUARE INC*,1
1109,147660,89410,SRX,SRA INTERNATIONAL INC,SRA INTERNATIONAL,,1
1110,15543,16399,SRAX,SRAX INC,SRAX,,1
1111,62965,93312,SSNC,SS&C TECHNOLOGIES HLDGS INC,SS&C TECH*,SS&C TECH*,1
1112,12544,76123,JOE,ST JOE CO,ST JOE,SAINT JOE|ST\.? JOE,1
1113,9372,68591,STJ,ST JUDE MEDICAL INC,ST JUDE MEDICAL,,1
1114,121673,87000,STMP,STAMPS.COM INC,STAMPS.COM,STAMPS.?COM,1
1115,9999,72486,SMSC,STANDARD MICROSYSTEMS CORP,STANDARD MICROSYSTEMS,,1
1116,10000,39220,SMP,STANDARD MOTOR PRODS,STANDARD MOTOR PRODS,,1
1117,10008,43481,SXI,STANDEX INTERNATIONAL CORP,STANDEX INTERNATIONAL,,1
1118,10016,43350,SWK,STANLEY BLACK & DECKER INC,STANLEY BLACK & DECKER,STANLEY BLACK AND DECKER|STANLEY BLACK & DECKER,1
1119,5723,91207,HOT,STARWOOD HOTELS&RESORTS WRLD,STARWOOD HOTELS&RESORTS WRLD,STARWOOD HOTELS,1
1120,32280,13008,STRZA,STARZ,STARZ,,1
1121,24233,76722,STFC,STATE AUTO FINANCIAL CORP,STATE AUTO FINANCIAL,,1
1122,183826,12696,STBZ,STATE BANK FINANCIAL CORP,STATE BANK FINANCIAL,,1
1123,21079,15083,SNC,STATE NATIONAL COS INC,STATE NATIONAL,,1
1124,10035,72726,STT,STATE STREET CORP,STATE STREET,,1
1125,134384,88646,STEC,STEC INC,STEC,,1
1126,64030,84262,STLD,STEEL DYNAMICS INC,STEEL DYNAMICS,,1
1127,66290,85796,SCS,STEELCASE INC,STEELCASE,,1
1128,171022,13761,STML,STEMLINE THERAPEUTICS INC,STEMLINE THERAPEUTICS,,1
1129,10056,36898,SCL,STEPAN CO,STEPAN,,1
1130,25313,77649,STE,STERIS PLC,STERIS,,1
1131,117161,86582,STL,STERLING BANCORP,STERLING BANCORP,,1
1132,32698,17121,SBT,STERLING BANCORP INC,STERLING BANCORP,STERLING BANCORP INC*,1
1133,25860,78009,SBIB,STERLING BANCSHARES INC/TX,STERLING BANCSHARES INC/TX,STERLING BANCSHARES,1
1134,5559,76927,STRL,STERLING CONSTRUCTION CO INC,STERLING CONSTRUCTION,,1
1135,24538,77045,STEI,STEWART ENTERPRISES  -CL A,STEWART ENTERPRISES,,1
1136,10086,72980,STC,STEWART INFORMATION SERVICES,STEWART INFORMATION SERVICES,,1
1137,11770,72996,SF,STIFEL FINANCIAL CORP,STIFEL FINANCIAL,,1
1138,31203,81173,SWC,STILLWATER MINING CO,STILLWATER MINING,,1
1139,32688,17038,SFIX,STITCH FIX INC,STITCH FIX,,1
1140,65590,85440,SRI,STONERIDGE INC,STONERIDGE,,1
1141,180597,93111,STRI,STR HOLDINGS INC,STR,,1
1142,18386,14041,STRP,STRAIGHT PATH COMMUNICATIONS,STRAIGHT PATH COMMUNICATIONS,,1
1143,164293,90955,SSKN,STRATA SKIN SCIENCES INC,STRATA SKIN SCIENCES,STRATA SKIN,1
1144,63338,83799,STRA,STRATEGIC EDUCATION INC,STRATEGIC EDUCATION,,1
1145,25462,77790,STRS,STRATUS PROPERTIES INC,STRATUS PROPERTIES,,1
1146,62666,83391,STRM,STREAMLINE HEALTH SOLUTIONS,STREAMLINE HEALTH SOLUTIONS,,1
1147,22603,15264,SUM,SUMMIT MATERIALS INC,SUMMIT MATERIALS,,1
1148,111579,90091,SUMT,SUMTOTAL SYSTEMS INC,SUMTOTAL SYSTEMS,,1
